"subjID","rt","win","trial_type","gain","loss","cert","gamble"
"819c4ba6a036130b","840.0","0.0","101","16.0","-8.0","0.0","1.0"
"819c4ba6a036130b","919.0","0.0","102","14.0","0.0","5.0","1.0"
"819c4ba6a036130b","725.0","0.0","101","9.0","-10.0","0.0","0.0"
"819c4ba6a036130b","806.0","0.0","101","14.0","-2.0","0.0","1.0"
"819c4ba6a036130b","1385.0","1.0","102","14.0","0.0","3.0","1.0"
"819c4ba6a036130b","970.0","0.0","101","12.0","-8.0","0.0","0.0"
"819c4ba6a036130b","1267.0","1.0","101","10.0","-4.0","0.0","1.0"
"819c4ba6a036130b","897.0","0.0","101","12.0","-3.0","0.0","1.0"
"819c4ba6a036130b","666.0","0.0","101","9.0","-4.0","0.0","1.0"
"819c4ba6a036130b","496.0","0.0","101","16.0","-4.0","0.0","1.0"
"819c4ba6a036130b","1452.0","0.0","101","8.0","-2.0","0.0","1.0"
"819c4ba6a036130b","729.0","1.0","101","12.0","-5.0","0.0","1.0"
"819c4ba6a036130b","873.0","1.0","101","9.0","-5.0","0.0","0.0"
"819c4ba6a036130b","683.0","0.0","102","20.0","0.0","7.0","0.0"
"819c4ba6a036130b","990.0","0.0","101","10.0","-10.0","0.0","0.0"
"819c4ba6a036130b","680.0","0.0","101","10.0","-3.0","0.0","1.0"
"819c4ba6a036130b","643.0","0.0","101","8.0","-10.0","0.0","1.0"
"819c4ba6a036130b","715.0","1.0","101","12.0","-8.0","0.0","1.0"
"819c4ba6a036130b","878.0","1.0","101","11.0","-2.0","0.0","1.0"
"819c4ba6a036130b","544.0","0.0","101","14.0","-6.0","0.0","1.0"
"819c4ba6a036130b","1105.0","0.0","101","8.0","-5.0","0.0","0.0"
"819c4ba6a036130b","1183.0","1.0","101","16.0","-5.0","0.0","1.0"
"819c4ba6a036130b","1011.0","1.0","101","12.0","-4.0","0.0","1.0"
"819c4ba6a036130b","1164.0","0.0","102","18.0","0.0","3.0","1.0"
"819c4ba6a036130b","819.0","1.0","102","12.0","0.0","5.0","0.0"
"819c4ba6a036130b","1046.0","1.0","101","14.0","-10.0","0.0","0.0"
"819c4ba6a036130b","805.0","1.0","101","11.0","-3.0","0.0","1.0"
"819c4ba6a036130b","984.0","1.0","101","10.0","-8.0","0.0","0.0"
"819c4ba6a036130b","1034.0","1.0","102","14.0","0.0","6.0","1.0"
"819c4ba6a036130b","967.0","0.0","101","8.0","-8.0","0.0","0.0"
"819c4ba6a036130b","773.0","0.0","102","14.0","0.0","3.0","1.0"
"819c4ba6a036130b","564.0","1.0","102","16.0","0.0","5.0","1.0"
"819c4ba6a036130b","956.0","1.0","101","9.0","-2.0","0.0","1.0"
"819c4ba6a036130b","899.0","1.0","101","11.0","-6.0","0.0","0.0"
"819c4ba6a036130b","742.0","0.0","102","12.0","0.0","3.0","1.0"
"819c4ba6a036130b","1008.0","0.0","101","10.0","-5.0","0.0","0.0"
"819c4ba6a036130b","839.0","0.0","102","20.0","0.0","4.0","1.0"
"819c4ba6a036130b","1513.0","0.0","101","14.0","-8.0","0.0","0.0"
"819c4ba6a036130b","881.0","0.0","101","12.0","-2.0","0.0","1.0"
"819c4ba6a036130b","743.0","0.0","102","12.0","0.0","7.0","0.0"
"819c4ba6a036130b","637.0","1.0","102","16.0","0.0","5.0","0.0"
"819c4ba6a036130b","715.0","1.0","102","12.0","0.0","7.0","1.0"
"819c4ba6a036130b","1178.0","0.0","102","14.0","0.0","5.0","0.0"
"819c4ba6a036130b","606.0","0.0","102","16.0","0.0","7.0","0.0"
"819c4ba6a036130b","928.0","0.0","101","16.0","-4.0","0.0","0.0"
"819c4ba6a036130b","1442.0","0.0","102","18.0","0.0","3.0","1.0"
"819c4ba6a036130b","773.0","0.0","101","10.0","-6.0","0.0","0.0"
"819c4ba6a036130b","892.0","0.0","101","8.0","-4.0","0.0","0.0"
"819c4ba6a036130b","701.0","0.0","102","20.0","0.0","6.0","0.0"
"819c4ba6a036130b","787.0","1.0","102","18.0","0.0","4.0","1.0"
"819c4ba6a036130b","1072.0","1.0","101","10.0","-8.0","0.0","0.0"
"819c4ba6a036130b","1519.0","1.0","102","12.0","0.0","3.0","0.0"
"46fd6e0b3b5c1df3","1643.0","1.0","101","9.0","-3.0","0.0","1.0"
"46fd6e0b3b5c1df3","909.0","0.0","102","8.0","0.0","3.0","1.0"
"46fd6e0b3b5c1df3","829.0","0.0","101","14.0","-3.0","0.0","1.0"
"46fd6e0b3b5c1df3","604.0","1.0","101","14.0","-6.0","0.0","1.0"
"46fd6e0b3b5c1df3","829.0","1.0","101","9.0","-10.0","0.0","0.0"
"46fd6e0b3b5c1df3","1066.0","1.0","101","10.0","-6.0","0.0","0.0"
"46fd6e0b3b5c1df3","808.0","1.0","101","8.0","-3.0","0.0","1.0"
"46fd6e0b3b5c1df3","946.0","1.0","101","11.0","-4.0","0.0","1.0"
"46fd6e0b3b5c1df3","652.0","1.0","101","14.0","-8.0","0.0","1.0"
"46fd6e0b3b5c1df3","1016.0","1.0","102","6.0","0.0","7.0","0.0"
"46fd6e0b3b5c1df3","1024.0","1.0","101","9.0","-3.0","0.0","1.0"
"46fd6e0b3b5c1df3","955.0","1.0","101","14.0","-8.0","0.0","1.0"
"46fd6e0b3b5c1df3","1393.0","0.0","102","10.0","0.0","7.0","0.0"
"46fd6e0b3b5c1df3","863.0","0.0","102","8.0","0.0","7.0","0.0"
"46fd6e0b3b5c1df3","1033.0","1.0","102","12.0","0.0","7.0","0.0"
"46fd6e0b3b5c1df3","900.0","0.0","101","16.0","-2.0","0.0","1.0"
"46fd6e0b3b5c1df3","1192.0","0.0","101","9.0","-10.0","0.0","0.0"
"46fd6e0b3b5c1df3","773.0","1.0","101","12.0","-2.0","0.0","1.0"
"46fd6e0b3b5c1df3","840.0","1.0","101","8.0","-2.0","0.0","1.0"
"46fd6e0b3b5c1df3","1235.0","0.0","101","12.0","-10.0","0.0","1.0"
"46fd6e0b3b5c1df3","897.0","0.0","101","14.0","-3.0","0.0","1.0"
"46fd6e0b3b5c1df3","796.0","1.0","101","11.0","-5.0","0.0","1.0"
"46fd6e0b3b5c1df3","695.0","1.0","101","9.0","-6.0","0.0","1.0"
"46fd6e0b3b5c1df3","1731.0","1.0","101","10.0","-2.0","0.0","1.0"
"46fd6e0b3b5c1df3","651.0","1.0","101","16.0","-8.0","0.0","1.0"
"46fd6e0b3b5c1df3","561.0","1.0","101","10.0","-10.0","0.0","1.0"
"46fd6e0b3b5c1df3","797.0","0.0","101","16.0","-10.0","0.0","1.0"
"46fd6e0b3b5c1df3","572.0","1.0","101","11.0","-2.0","0.0","1.0"
"46fd6e0b3b5c1df3","1247.0","0.0","102","8.0","0.0","6.0","0.0"
"46fd6e0b3b5c1df3","1144.0","0.0","101","10.0","-8.0","0.0","1.0"
"46fd6e0b3b5c1df3","719.0","0.0","101","11.0","-8.0","0.0","1.0"
"46fd6e0b3b5c1df3","864.0","1.0","101","10.0","-2.0","0.0","1.0"
"46fd6e0b3b5c1df3","788.0","0.0","101","10.0","-4.0","0.0","1.0"
"46fd6e0b3b5c1df3","628.0","1.0","101","16.0","-8.0","0.0","1.0"
"46fd6e0b3b5c1df3","604.0","1.0","102","12.0","0.0","4.0","1.0"
"46fd6e0b3b5c1df3","1313.0","1.0","102","6.0","0.0","5.0","0.0"
"46fd6e0b3b5c1df3","955.0","1.0","101","16.0","-6.0","0.0","1.0"
"46fd6e0b3b5c1df3","844.0","0.0","102","14.0","0.0","5.0","1.0"
"46fd6e0b3b5c1df3","1009.0","1.0","102","14.0","0.0","6.0","1.0"
"46fd6e0b3b5c1df3","968.0","0.0","102","14.0","0.0","3.0","1.0"
"46fd6e0b3b5c1df3","707.0","1.0","101","12.0","-3.0","0.0","1.0"
"46fd6e0b3b5c1df3","717.0","0.0","101","12.0","-2.0","0.0","1.0"
"46fd6e0b3b5c1df3","741.0","0.0","101","9.0","-2.0","0.0","1.0"
"46fd6e0b3b5c1df3","575.0","0.0","101","9.0","-5.0","0.0","1.0"
